"2025-12-09","PAYPAL           MSP","3",,"42305.75"
"2025-12-09","PAYPAL           MSP","15.74",,"42290.01"
"2025-12-09","PAYPAL           MSP","21.04",,"42268.97"
"2025-12-09","PAYPAL           MSP","49.32",,"42219.65"
"2025-12-09","PAYPAL           MSP","96.59",,"42123.06"
"2025-12-11","STRIPE           MSP",,"4.36","42127.42"
"2025-12-11","PTS TO:  80746337033","50",,"42077.42"
"2025-12-15","PAYPAL           MSP","45.22",,"42032.2"
"2025-12-16","PAYPAL           MSP","24.78",,"42007.42"
"2025-12-16","PAYPAL           MSP","30.16",,"41977.26"
"2025-12-16","PAYPAL           MSP","34.35",,"41942.91"
"2025-12-17","PAYPAL           MSP","14.16",,"41928.75"
"2025-12-22","Google LLC       MSP",,"522.32","42451.07"
"2025-12-22","PAYPAL           MSP","3",,"42448.07"
"2025-12-22","PAYPAL           MSP","42.11",,"42405.96"
"2025-12-23","PAYPAL           MSP","9.95",,"42396.01"
"2025-12-23","PAYPAL           MSP","13.64",,"42382.37"
"2025-12-24","PAYPAL           MSP","36.74",,"42345.63"
"2025-12-29","NETFLIX.COM       _V","19.94",,"42325.69"
"2025-12-29","Amazon.ca         _V","9.79",,"42315.9"
"2025-12-29","Amazon.ca         _V","14.44",,"42301.46"
"2025-12-29","Amazon.ca Prime   _V","10.49",,"42290.97"
"2025-12-29","PTS TO:  80746337033","50",,"42240.97"
"2025-12-30","SSV TO:  80746337033","2",,"42238.97"
"2025-12-30","PAYPAL           MSP","6.29",,"42232.68"
"2025-12-30","PAYPAL           MSP","10.49",,"42222.19"
"2025-12-31","PTS TO:  80746337033","10",,"42212.19"
"2025-12-31","PAYPAL           MSP","13.64",,"42198.55"
"2025-12-31","MONTHLY ACCOUNT FEE","17.95",,"42180.6"
"2025-12-31","ACCT BAL REBATE",,"17.95","42198.55"
"2024-11-01","CAMERASTORE      AP",,"1500","25247.88"
"2024-11-05","Veem Payment     MSP",,"9470.47","34718.35"
"2024-11-06","PAYPAL           MSP","76.21",,"34642.14"
"2024-11-07","FREEDOM MOBILE    _V","88.15",,"34553.99"
"2024-11-07","PAYPAL           MSP","46.18",,"34507.81"
"2024-11-07","PAYPAL           MSP","82.94",,"34424.87"
"2024-11-08","SSV TO:  80746337033","0.5",,"34424.37"
"2024-11-08","PAYPAL           MSP","13.64",,"34410.73"
"2024-11-12","AMZN Mktp CA      _V","12.6",,"34398.13"
"2024-11-12","AMZN Mktp CA      _V","62.99",,"34335.14"
"2024-11-12","HOMEY FOOD AND","165.89",,"34169.25"
"2024-11-13","SSV TO:  80746337033","1.5",,"34167.75"
"2024-11-13","PAYPAL           MSP","164.34",,"34003.41"
"2024-11-14","AMZN Mktp CA      _V","25.73",,"33977.68"
"2024-11-14","PTS TO:  80746337033","50",,"33927.68"
"2024-11-14","SEND E-TFR ***hbM","3000",,"30927.68"
"2024-11-14","PAYPAL           MSP","124.32",,"30803.36"
"2024-11-15","AMZN Mktp CA      _V","28.28",,"30775.08"
"2024-11-15","STRIPE           MSP",,"4.36","30779.44"
"2024-11-15","SSV TO:  80746337033","0.5",,"30778.94"
"2024-11-15","Veem Payment     MSP",,"8185.62","38964.56"
"2024-11-18","SSV TO:  80746337033","0.5",,"38964.06"
"2024-11-18","PAYPAL           MSP","33.76",,"38930.3"
"2024-11-19","PAYPAL           MSP","14.16",,"38916.14"
"2024-11-19","PAYPAL           MSP","30.85",,"38885.29"
"2024-11-21","AMZN Mktp CA      _V","53.57",,"38831.72"
"2024-11-21","PAYPAL           MSP","9.95",,"38821.77"
"2024-11-21","PAYPAL           MSP","11.34",,"38810.43"
"2024-11-22","Google LLC       MSP",,"1052.23","39862.66"
"2024-11-22","SSV TO:  80746337033","0.5",,"39862.16"
"2024-11-25","NETFLIX.COM       _V","17.31",,"39844.85"
"2024-11-26","SSV TO:  80746337033","0.5",,"39844.35"
"2024-11-26","WT554 TFR-TO C/C","2286.49",,"37557.86"
"2024-11-26","PAYPAL           MSP","47.24",,"37510.62"
"2024-11-27","Amazon.ca         _V","83.99",,"37426.63"
"2024-11-28","PTS TO:  80746337033","50",,"37376.63"
"2024-11-28","SSV TO:  80746337033","0.5",,"37376.13"
"2024-11-29","Amazon.ca Prime   _V","10.49",,"37365.64"
"2024-11-29","SEND E-TFR ***wRM","3000",,"34365.64"
"2024-11-29","PTS TO:  80746337033","10",,"34355.64"
"2024-11-29","PAYPAL           MSP","6.29",,"34349.35"
"2024-11-29","MONTHLY ACCOUNT FEE","16.95",,"34332.4"
"2024-11-29","ACCT BAL REBATE",,"16.95","34349.35"
"2024-12-02","Amazon.ca         _V","26.23",,"34323.12"
"2024-12-02","SSV TO:  80746337033","0.5",,"34322.62"
"2024-12-02","PAYPAL           MSP","10.49",,"34312.13"
"2024-12-03","STRIPE           MSP",,"4.36","34316.49"
"2024-12-03","SSV TO:  80746337033","0.5",,"34315.99"
"2024-12-03","PAYPAL           MSP","13.64",,"34302.35"
"2024-12-03","PAYPAL           MSP","218.95",,"34083.4"
"2024-12-03","PAYPAL           MSP","292.69",,"33790.71"
"2024-12-05","Amazon.ca         _V","8.99",,"33781.72"
"2024-12-05","Amazon.ca         _V","107.33",,"33674.39"
"2024-12-06","SSV TO:  80746337033","1",,"33673.39"
"2024-12-06","Amazon.ca         _V","156.47",,"33516.92"
"2024-12-06","Veem Payment     MSP",,"7610.98","41127.9"
"2024-12-06","PAYPAL           MSP","34.1",,"41093.8"
"2024-12-09","Amazon.ca         _V","104.2",,"40989.6"
"2024-12-09","FREEDOM MOBILE    _V","88.15",,"40901.45"
"2024-12-09","E-TRANSFER ***hZE",,"35","40936.45"
"2024-12-09","E-TRANSFER ***5D8",,"50","40986.45"
"2024-12-09","SSV TO:  80746337033","0.5",,"40985.95"
"2024-12-09","SEND E-TFR ***ysJ","2812",,"38173.95"
"2024-12-09","RX020 TFR-TO C/C","975.23",,"37198.72"
"2024-12-09","PAYPAL           MSP","82.94",,"37115.78"
"2024-12-10","SSV TO:  80746337033","1",,"37114.78"
"2024-12-10","AMZN Mktp CA      _V","24.14",,"37090.64"
"2024-12-10","PAYPAL           MSP","13.64",,"37077"
"2024-12-11","SSV TO:  80746337033","0.5",,"37076.5"
"2024-12-12","PTS TO:  80746337033","50",,"37026.5"
"2024-12-12","PAYPAL           MSP",,"29.92","37056.42"
"2024-12-12","PAYPAL           MSP","31.1",,"37025.32"
"2024-12-12","PAYPAL           MSP","33.58",,"36991.74"
"2024-12-13","AMZN Mktp CA      _V","26.24",,"36965.5"
"2024-12-13","FEDEX YYCA        _F","17.16",,"36948.34"
"2024-12-13","PAYPAL           MSP","46.27",,"36902.07"
"2024-12-16","SSV TO:  80746337033","1",,"36901.07"
"2024-12-16","HW-FastSpring P  CMS",,"1425.85","38326.92"
"2024-12-16","PAYPAL           MSP","38.82",,"38288.1"
"2024-12-17","PAYPAL           MSP","14.16",,"38273.94"
"2024-12-17","PAYPAL           MSP","30.99",,"38242.95"
"2024-12-17","PAYPAL           MSP","31.15",,"38211.8"
"2024-12-17","PAYPAL           MSP","34.19",,"38177.61"
"2024-12-19","AMZN Mktp CA      _V","19.97",,"38157.64"
"2024-12-19","E-TRANSFER ***6NW",,"700","38857.64"
"2024-12-19","IU012 TFR-TO C/C","1590.44",,"37267.2"
"2024-12-20","SSV TO:  80746337033","0.5",,"37266.7"
"2024-12-23","Google LLC       MSP",,"1090.89","38357.59"
"2024-12-23","PAYPAL           MSP","2.61",,"38354.98"
"2024-12-23","PAYPAL           MSP","13.94",,"38341.04"
"2024-12-27","NETFLIX.COM       _V","17.31",,"38323.73"
"2024-12-27","PTS TO:  80746337033","50",,"38273.73"
"2024-12-27","STRIPE           MSP",,"4.36","38278.09"
"2024-12-27","SEND E-TFR ***5pC","265",,"38013.09"
"2024-12-27","Veem Payment     MSP",,"719","38732.09"
"2024-12-30","Amazon.ca Prime   _V","10.49",,"38721.6"
"2024-12-30","SSV TO:  80746337033","0.5",,"38721.1"
"2024-12-31","PTS TO:  80746337033","10",,"38711.1"
"2024-12-31","SSV TO:  80746337033","0.5",,"38710.6"
"2024-12-31","RADIANCE SYNERG  MSP",,"10092.25","48802.85"
"2024-12-31","PAYPAL           MSP","6.29",,"48796.56"
"2024-12-31","PAYPAL           MSP","10.49",,"48786.07"
"2024-12-31","PAYPAL           MSP","13.64",,"48772.43"
"2024-12-31","MONTHLY ACCOUNT FEE","16.95",,"48755.48"
"2024-12-31","ACCT BAL REBATE",,"16.95","48772.43"
"2025-01-06","PAYPAL           MSP","54.39",,"48718.04"
"2025-01-07","FREEDOM MOBILE    _V","88.15",,"48629.89"
"2025-01-07","AMZN Mktp CA      _V","35.69",,"48594.2"
"2025-01-07","PAYPAL           MSP","23.61",,"48570.59"
"2025-01-07","PAYPAL           MSP","60.34",,"48510.25"
"2025-01-07","PAYPAL           MSP","82.94",,"48427.31"
"2025-01-08","SSV TO:  80746337033","1",,"48426.31"
"2025-01-08","PAYPAL           MSP","13.64",,"48412.67"
"2025-01-09","PTS TO:  80746337033","50",,"48362.67"
"2025-01-13","UL134 TFR-TO C/C","1555.42",,"46807.25"
"2025-01-14","PAYPAL           MSP","49.86",,"46757.39"
"2025-01-15","PAYPAL           MSP","39.36",,"46718.03"
"2025-01-16","PAYPAL           MSP","32.94",,"46685.09"
"2025-01-17","PAYPAL           MSP","14.16",,"46670.93"
"2025-01-17","PAYPAL           MSP","31.42",,"46639.51"
"2025-01-20","PAYPAL           MSP","34.8",,"46604.71"
"2025-01-20","PAYPAL           MSP","67.19",,"46537.52"
"2025-01-21","WPS-0121S02570",,"3593.03","50130.55"
"2025-01-21","PAYPAL           MSP","9.95",,"50120.6"
"2025-01-22","Google LLC       MSP",,"744.8","50865.4"
"2025-01-23","PTS TO:  80746337033","50",,"50815.4"
"2025-01-27","NETFLIX.COM       _V","17.31",,"50798.09"
"2025-01-27","RR145 TFR-TO C/C","1121.75",,"49676.34"
"2025-01-27","PAYPAL           MSP",,"23.61","49699.95"
"2025-01-28","SSV TO:  80746337033","0.5",,"49699.45"
"2025-01-28","PAYPAL           MSP","22.56",,"49676.89"
"2025-01-28","PAYPAL           MSP","60.36",,"49616.53"
"2025-01-28","PAYPAL           MSP","62.46",,"49554.07"
"2025-01-29","Amazon.ca Prime   _V","10.49",,"49543.58"
"2025-01-29","PAYPAL           MSP","6.29",,"49537.29"
"2025-01-29","PAYPAL           MSP","118.11",,"49419.18"
"2025-01-30","SSV TO:  80746337033","0.5",,"49418.68"
"2025-01-30","PAYPAL           MSP","10.49",,"49408.19"
"2025-01-30","PAYPAL           MSP","73.63",,"49334.56"
"2025-01-31","PTS TO:  80746337033","10",,"49324.56"
"2025-01-31","PAYPAL           MSP","13.64",,"49310.92"
"2025-01-31","MONTHLY ACCOUNT FEE","16.95",,"49293.97"
"2025-01-31","ACCT BAL REBATE",,"16.95","49310.92"
"2025-02-03","Amazon.ca         _V","9.99",,"49300.93"
"2025-02-03","PAYPAL           MSP","106.5",,"49194.43"
"2025-02-04","SSV TO:  80746337033","0.5",,"49193.93"
"2025-02-05","AMZN Mktp CA      _V","62.99",,"49130.94"
"2025-02-05","PAYPAL           MSP","65.61",,"49065.33"
"2025-02-06","PTS TO:  80746337033","50",,"49015.33"
"2025-02-06","SSV TO:  80746337033","0.5",,"49014.83"
"2025-02-07","FREEDOM MOBILE    _V","88.15",,"48926.68"
"2025-02-07","PAYPAL           MSP","60.34",,"48866.34"
"2025-02-07","PAYPAL           MSP","82.94",,"48783.4"
"2025-02-10","AMZN Mktp CA      _V","14.99",,"48768.41"
"2025-02-10","AMZN Mktp CA      _V","13.13",,"48755.28"
"2025-02-10","SSV TO:  80746337033","0.5",,"48754.78"
"2025-02-10","PAYPAL           MSP","13.64",,"48741.14"
"2025-02-11","AMZN Mktp CA      _V","20.99",,"48720.15"
"2025-02-11","SSV TO:  80746337033","1",,"48719.15"
"2025-02-11","PAYPAL           MSP","34.11",,"48685.04"
"2025-02-12","SSV TO:  80746337033","0.5",,"48684.54"
"2025-02-13","AMZN Mktp CA      _V","51.93",,"48632.61"
"2025-02-14","SSV TO:  80746337033","0.5",,"48632.11"
"2025-02-18","PAYPAL           MSP","14.16",,"48617.95"
"2025-02-18","PAYPAL           MSP","17.38",,"48600.57"
"2025-02-18","PAYPAL           MSP","27.43",,"48573.14"
"2025-02-18","PAYPAL           MSP","34.11",,"48539.03"
"2025-02-18","PAYPAL           MSP","47.26",,"48491.77"
"2025-02-20","PTS TO:  80746337033","50",,"48441.77"
"2025-02-21","JT203 TFR-TO 6337033","1054.03",,"47387.74"
"2025-02-21","SEND E-TFR ***kaj","150",,"47237.74"
"2025-02-21","E-TRANSFER ***eDP",,"150","47387.74"
"2025-02-24","Google LLC       MSP",,"811.66","48199.4"
"2025-02-24","PAYPAL           MSP","34.11",,"48165.29"
"2025-02-25","Amazon.ca         _V","14.46",,"48150.83"
"2025-02-25","Amazon.ca         _V","18.38",,"48132.45"
